"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vtvv&geo=vvvvvvvvvvvvo&sec=g&freq=A&start=2023&end=2024&ctype=map&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Sat May 17 2025 17:01:09 GMT-0600 (Mountain Daylight Time)"
"Source: U.S. Energy Information Administration"
"Middle Atlantic : coal","thousand megawatthours","ELEC.GEN.COW-MAT-99.A",12835,13201
"Middle Atlantic : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MAT-99.A",504,554
"Middle Atlantic : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MAT-99.A",0,0
"Middle Atlantic : natural gas","thousand megawatthours","ELEC.GEN.NG-MAT-99.A",230740,240140
"Middle Atlantic : other gases","thousand megawatthours","ELEC.GEN.OOG-MAT-99.A",739,535
"Middle Atlantic : nuclear","thousand megawatthours","ELEC.GEN.NUC-MAT-99.A",131165,130155
"Middle Atlantic : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MAT-99.A",31229,31303
"Middle Atlantic : other renewables",,"ELEC.GEN.AOR-MAT-99.A",,
"Middle Atlantic : wind","thousand megawatthours","ELEC.GEN.WND-MAT-99.A",8076,9587
"Middle Atlantic : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MAT-99.A",4141,6361
"Middle Atlantic : geothermal","thousand megawatthours","ELEC.GEN.GEO-MAT-99.A","--","--"
"Middle Atlantic : biomass","thousand megawatthours","ELEC.GEN.BIO-MAT-99.A",3830,3732
"Middle Atlantic : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-MAT-99.A",482,418
"Middle Atlantic : other biomass","thousand megawatthours","ELEC.GEN.WAS-MAT-99.A",3347,3314
"Middle Atlantic : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MAT-99.A",-1442,-1550
"Middle Atlantic : other","thousand megawatthours","ELEC.GEN.OTH-MAT-99.A",2377,2498
